82,13,0
84,49,0
34,94,0
11,92,0
68,28,1
19,51,1
18,35,1
52,50,1
11,39,0
29,50,1
32,27,0
81,37,1
30,25,1
30,53,1
28,40,1
21,50,0
10,30,0
46,83,1
42,10,0
31,30,1
79,82,1
66,61,0
70,28,0
45,46,1
85,47,0
36,84,0
91,22,0
62,88,0
73,80,0
35,31,0
18,95,0
87,33,1
72,24,0
12,80,1
20,16,0
60,26,0
82,44,1
42,43,0
78,34,0
30,41,1
15,13,0
71,57,1
70,75,1
18,90,1
36,70,0
55,83,0
66,50,0
34,84,1
74,80,1
65,53,1
26,53,1
63,81,1
76,12,1
45,16,0
81,49,1
39,55,0
11,63,1
94,56,0
54,38,0
51,92,1
42,50,0
54,79,1
76,79,0
53,29,1
41,66,0
28,83,0
26,61,0
65,33,1
48,20,1
76,10,0
79,90,1
29,72,0
68,12,1
12,79,0
42,17,1
46,47,0
94,14,1
21,89,1
87,71,1
78,87,1
26,70,1
26,31,1
58,30,0
75,95,0
28,94,0
47,14,1
68,95,0
36,49,1
22,82,1
22,25,1
64,52,0
66,29,1
88,62,0
73,26,1
69,18,0
50,27,1
10,49,0
78,24,1
71,46,0
30,58,1
